seasonEpisode,speaker,lineCount,wordCount
S1E1,Arya Stark,5,15
S1E1,Benjen Stark,12,149
S1E1,Bran Stark,14,61
S1E1,Catelyn Stark,35,400
S1E1,Cersei Lannister,17,140
S1E1,Daenerys Targaryen,9,70
S1E1,Eddard Stark,51,398
S1E1,Gared,4,28
S1E1,Illyrio Mopatis,15,184
S1E1,Jaime Lannister,18,260
S1E1,Jon Snow,23,161
S1E1,Jorah Mormont,4,49
S1E1,Khal Drogo,5,9
S1E1,Maester Luwin,6,83
S1E1,Maid,1,5
S1E1,Robb Stark,11,64
S1E1,Robert Baratheon,18,338
S1E1,Rodrik Cassel,3,31
S1E1,Ros,8,68
S1E1,Sandor Clegane,3,18
S1E1,Sansa Stark,13,92
S1E1,Septa Mordane,2,22
S1E1,Stark Guard,1,5
S1E1,Theon Greyjoy,7,54
S1E1,Tyrion Lannister,20,206
S1E1,Viserys Targaryen,18,286
S1E1,Waymar Royce,7,99
S1E1,Will,8,119
S1E10,Addam Marbrand,2,22
S1E10,Arya Stark,5,51
S1E10,Bran Stark,8,130
S1E10,Catelyn Stark,12,109
S1E10,Cersei Lannister,1,6
S1E10,Daenerys Targaryen,25,305
S1E10,Galbart Glover,1,10
S1E10,Gendry,3,74
S1E10,Grand Maester Pycelle,6,224
S1E10,Greatjon Umber,3,133
S1E10,Grenn,9,87
S1E10,Hot Pie,6,75
S1E10,Jaime Lannister,8,166
S1E10,Jeor Mormont,6,284
S1E10,Joffrey Baratheon,19,247
S1E10,Jon Snow,17,72
S1E10,Jonos Bracken,3,42
S1E10,Jorah Mormont,13,144
S1E10,Kevan Lannister,3,38
S1E10,Lancel Lannister,1,31
S1E10,Leo Lefford,2,21
S1E10,Lommy Greenhands,5,37
S1E10,Lord Varys,11,145
S1E10,Maester Luwin,1,1
S1E10,Marillion,9,123
S1E10,Mirri Maz Duur,9,244
S1E10,Osha,5,56
S1E10,Petyr Baelish,10,118
S1E10,Pypar,6,91
S1E10,Rakharo,1,5
S1E10,Rickard Karstark,2,62
S1E10,Rickon Stark,5,27
S1E10,Robb Stark,4,45
S1E10,Rodrik Cassel,1,40
S1E10,Ros,4,26
S1E10,Samwell Tarly,11,104
S1E10,Sandor Clegane,4,22
S1E10,Sansa Stark,7,42
S1E10,Shae,7,63
S1E10,Stark Bannermen,1,6
S1E10,Stark Guard,1,2
S1E10,Theon Greyjoy,3,62
S1E10,Tyrion Lannister,10,193
S1E10,Tywin Lannister,5,173
S1E10,Yoren,6,212
S1E2,Arya Stark,24,143
S1E2,Benjen Stark,2,7
S1E2,Catelyn Stark,22,240
S1E2,Catspaw Assassin,1,19
S1E2,Cersei Lannister,19,288
S1E2,Daenerys Targaryen,14,91
S1E2,Doreah,12,244
S1E2,Eddard Stark,34,289
S1E2,Irri,4,27
S1E2,Jaime Lannister,9,160
S1E2,Jhiqui,2,6
S1E2,Joffrey Baratheon,17,214
S1E2,Jon Snow,24,266
S1E2,Jorah Mormont,5,106
S1E2,Jory Cassel,4,30
S1E2,Lannister Soldier,2,14
S1E2,Lannister Soldier #1,2,13
S1E2,Lannister Soldier #2,2,9
S1E2,Maester Luwin,5,90
S1E2,Mycah,4,26
S1E2,Myrcella Baratheon,1,5
S1E2,Robb Stark,13,119
S1E2,Robert Baratheon,23,430
S1E2,Rodrik Cassel,3,58
S1E2,Sandor Clegane,4,56
S1E2,Sansa Stark,14,127
S1E2,Theon Greyjoy,2,15
S1E2,Tyrion Lannister,21,497
S1E2,Viserys Targaryen,3,67
S1E3,Alliser Thorne,4,74
S1E3,Arya Stark,22,145
S1E3,Barristan Selmy,5,35
S1E3,Benjen Stark,11,251
S1E3,Bran Stark,5,39
S1E3,Catelyn Stark,20,170
S1E3,Cersei Lannister,21,309
S1E3,Daenerys Targaryen,13,49
S1E3,Dothraki Rider,1,5
S1E3,Eddard Stark,45,546
S1E3,Grand Maester Pycelle,6,72
S1E3,Grenn,4,30
S1E3,Irri,13,93
S1E3,Jaime Lannister,17,341
S1E3,Jeor Mormont,6,93
S1E3,Joffrey Baratheon,12,150
S1E3,Jon Snow,13,135
S1E3,Jorah Mormont,17,224
S1E3,Jory Cassel,1,3
S1E3,Khal Drogo,1,3
S1E3,King's Landing Guard,3,24
S1E3,Lancel Lannister,2,8
S1E3,Lord Varys,8,109
S1E3,Maester Aemon,5,124
S1E3,Old Nan,4,198
S1E3,Petyr Baelish,24,343
S1E3,Pypar,1,10
S1E3,Rakharo,15,93
S1E3,Rast,1,7
S1E3,Renly Baratheon,4,56
S1E3,Robb Stark,4,69
S1E3,Robert Baratheon,8,336
S1E3,Rodrik Cassel,2,12
S1E3,Royal Steward,2,30
S1E3,Sansa Stark,4,24
S1E3,Septa Mordane,5,26
S1E3,Syrio Forel,8,242
S1E3,Tyrion Lannister,26,402
S1E3,Viserys Targaryen,2,44
S1E3,Yoren,9,143
S1E4,Alliser Thorne,11,469
S1E4,Arya Stark,8,100
S1E4,Bran Stark,6,32
S1E4,Bronn,1,5
S1E4,Catelyn Stark,6,135
S1E4,Cersei Lannister,7,137
S1E4,Daenerys Targaryen,20,206
S1E4,Doreah,13,186
S1E4,Eddard Stark,52,483
S1E4,Gendry,6,65
S1E4,Grand Maester Pycelle,16,272
S1E4,Grenn,10,63
S1E4,Hodor,2,2
S1E4,Hugh Of The Vale,3,24
S1E4,Irri,1,2
